sample_index,t_received,t_display,latency_ms
484,1776348195.048111,1776348194.798000,250.111
485,1776348195.151921,1776348194.901000,250.921
486,1776348195.207225,1776348194.951000,256.225
487,1776348195.261627,1776348194.995000,266.627
488,1776348195.368100,1776348195.133000,235.100
489,1776348195.419689,1776348195.166000,253.689
490,1776348195.471287,1776348195.192000,279.287
491,1776348195.575378,1776348195.331000,244.378
492,1776348195.627314,1776348195.364000,263.314
493,1776348195.678285,1776348195.395000,283.285
494,1776348195.780058,1776348195.523000,257.058
495,1776348195.830777,1776348195.565000,265.777
496,1776348195.932135,1776348195.698000,234.135
497,1776348195.982894,1776348195.727000,255.894
498,1776348196.033211,1776348195.768000,265.211
499,1776348196.083674,1776348195.799000,284.674
500,1776348196.134370,1776348195.897000,237.370
501,1776348196.184992,1776348195.925000,259.992
502,1776348196.236073,1776348195.954000,282.073
503,1776348196.338297,1776348196.092000,246.297
504,1776348196.396410,1776348196.118000,278.410
505,1776348196.447983,1776348196.166000,281.983
506,1776348196.549685,1776348196.299000,250.685
507,1776348196.601262,1776348196.329000,272.262
508,1776348196.651840,1776348196.392000,259.840
509,1776348196.755924,1776348196.496000,259.923
510,1776348196.808808,1776348196.565000,243.808
511,1776348196.872128,1776348196.591000,281.128
512,1776348196.976964,1776348196.736000,240.964
513,1776348197.028012,1776348196.766000,262.012
514,1776348197.078594,1776348196.798000,280.594
515,1776348197.129984,1776348196.884000,245.984
516,1776348197.183374,1776348196.917000,266.374
517,1776348197.236284,1776348196.967000,269.284
518,1776348197.344515,1776348197.092000,252.515
519,1776348197.397488,1776348197.117000,280.488
520,1776348197.461891,1776348197.197000,264.891
521,1776348197.573405,1776348197.327000,246.405
522,1776348197.625313,1776348197.370000,255.313
523,1776348197.678033,1776348197.399000,279.033
524,1776348197.729585,1776348197.511000,218.585
525,1776348197.780840,1776348197.540000,240.840
526,1776348197.834281,1776348197.580000,254.281
527,1776348197.886324,1776348197.609000,277.324
528,1776348197.938030,1776348197.706000,232.030
529,1776348197.988651,1776348197.740000,248.651
530,1776348198.039355,1776348197.768000,271.355
531,1776348198.090533,1776348197.810000,280.533
532,1776348198.191967,1776348197.949000,242.967
533,1776348198.242582,1776348197.963000,279.582
534,1776348198.293671,1776348198.039000,254.671
535,1776348198.344925,1776348198.082000,262.925
536,1776348198.396691,1776348198.116000,280.691
537,1776348198.448513,1776348198.162000,286.513
538,1776348198.550269,1776348198.293000,257.269
539,1776348198.601712,1776348198.320000,281.712
540,1776348198.753731,1776348198.481000,272.731
541,1776348198.804882,1776348198.526000,278.882
542,1776348198.856794,1776348198.593000,263.794
543,1776348198.959929,1776348198.692000,267.929
544,1776348199.062947,1776348198.792000,270.947
545,1776348199.164543,1776348198.883000,281.543
546,1776348199.215636,1776348198.959000,256.636
547,1776348199.276819,1776348198.988000,288.819
548,1776348199.386935,1776348199.117000,269.934
549,1776348199.444079,1776348199.162000,282.079
550,1776348199.549788,1776348199.289000,260.788
551,1776348199.600968,1776348199.327000,273.968
552,1776348199.652293,1776348199.383000,269.293
553,1776348199.756631,1776348199.481000,275.631
554,1776348199.807788,1776348199.558000,249.788
555,1776348199.859396,1776348199.586000,273.396
556,1776348199.961355,1776348199.703000,258.355
557,1776348200.012888,1776348199.779000,233.888
558,1776348200.063864,1776348199.791000,272.864
559,1776348200.165039,1776348199.943000,222.039
560,1776348200.215774,1776348199.974000,241.774
561,1776348200.266685,1776348200.001000,265.685
562,1776348200.369938,1776348200.105000,264.938
563,1776348200.420759,1776348200.171000,249.759
564,1776348200.477517,1776348200.198000,279.517
565,1776348200.587033,1776348200.344000,243.032
566,1776348200.638492,1776348200.374000,264.492
567,1776348200.740409,1776348200.503000,237.409
568,1776348200.792215,1776348200.546000,246.215
569,1776348200.843913,1776348200.572000,271.913
570,1776348200.945160,1776348200.704000,241.160
571,1776348200.996039,1776348200.730000,266.039
572,1776348201.046337,1776348200.775000,271.337
573,1776348201.149098,1776348200.901000,248.098
574,1776348201.199470,1776348200.944000,255.470
575,1776348201.250766,1776348200.999000,251.765
576,1776348201.354409,1776348201.099000,255.409
577,1776348201.406393,1776348201.131000,275.393
578,1776348201.457974,1776348201.206000,251.974
579,1776348201.559208,1776348201.303000,256.208
580,1776348201.610309,1776348201.377000,233.309
581,1776348201.668127,1776348201.408000,260.127
582,1776348201.777627,1776348201.538000,239.627
583,1776348201.830588,1776348201.568000,262.588
584,1776348201.881776,1776348201.610000,271.776
585,1776348201.933154,1776348201.704000,229.154
586,1776348201.986029,1776348201.739000,247.029
587,1776348202.037245,1776348201.782000,255.244
588,1776348202.139564,1776348201.902000,237.564
589,1776348202.191642,1776348201.933000,258.642
590,1776348202.242908,1776348201.975000,267.909
591,1776348202.344491,1776348202.107000,237.491
592,1776348202.395079,1776348202.147000,248.079
593,1776348202.446886,1776348202.194000,252.886
594,1776348202.600993,1776348202.337000,263.994
595,1776348202.654202,1776348202.412000,242.202
596,1776348202.809600,1776348202.576000,233.600
597,1776348202.875930,1776348202.602000,273.930
598,1776348203.033196,1776348202.769000,264.196
599,1776348203.086772,1776348202.812000,274.772
600,1776348203.144046,1776348202.900000,244.046
601,1776348203.204486,1776348202.976000,228.486
602,1776348203.270241,1776348203.002000,268.240
603,1776348203.333975,1776348203.103000,230.975
604,1776348203.396626,1776348203.147000,249.626
605,1776348203.458901,1776348203.219000,239.901
606,1776348203.582993,1776348203.345000,237.993
607,1776348203.644706,1776348203.374000,270.706
608,1776348203.772769,1776348203.537000,235.769
609,1776348203.836816,1776348203.579000,257.816
610,1776348204.027932,1776348203.772000,255.932
611,1776348204.087663,1776348203.812000,275.663
612,1776348204.189478,1776348203.932000,257.478
613,1776348204.240253,1776348203.962000,278.253
614,1776348204.393511,1776348204.132000,261.511
615,1776348204.444008,1776348204.160000,284.008
616,1776348204.598695,1776348204.322000,276.695
617,1776348204.650785,1776348204.382000,268.785
618,1776348204.803263,1776348204.522000,281.263
619,1776348205.007561,1776348204.728000,279.561
620,1776348205.058646,1776348204.790000,268.646
621,1776348205.213050,1776348204.964000,249.050
622,1776348205.274756,1776348204.992000,282.756
623,1776348205.377688,1776348205.130000,247.688
624,1776348205.429306,1776348205.157000,272.306
625,1776348205.480841,1776348205.189000,291.841
626,1776348205.582935,1776348205.323000,259.935
