sample_index,t_received,t_stamp,age_ms
571,1776403343.645833,1776403343.590800,55.033
572,1776403343.680525,1776403343.632603,47.922
573,1776403343.713728,1776403343.671181,42.546
574,1776403343.748307,1776403343.708697,39.610
575,1776403343.786039,1776403343.747845,38.194
576,1776403343.833124,1776403343.790608,42.516
577,1776403343.867625,1776403343.832065,35.560
578,1776403343.912535,1776403343.871198,41.337
579,1776403343.950713,1776403343.907696,43.017
580,1776403343.989992,1776403343.951882,38.110
581,1776403344.058054,1776403344.027207,30.847
582,1776403344.085924,1776403344.046827,39.097
583,1776403344.121495,1776403344.067575,53.920
584,1776403344.152271,1776403344.113515,38.757
585,1776403344.204841,1776403344.154218,50.623
586,1776403344.257108,1776403344.192049,65.059
587,1776403344.287498,1776403344.232265,55.233
588,1776403344.315878,1776403344.270876,45.002
589,1776403344.352501,1776403344.315006,37.495
590,1776403344.382358,1776403344.350587,31.771
591,1776403344.423240,1776403344.390848,32.392
592,1776403344.474984,1776403344.430020,44.965
593,1776403344.507415,1776403344.469642,37.773
594,1776403344.551830,1776403344.510639,41.191
595,1776403344.586494,1776403344.552347,34.147
596,1776403344.643525,1776403344.592197,51.328
597,1776403344.689431,1776403344.633367,56.064
598,1776403344.732562,1776403344.669243,63.319
599,1776403344.759610,1776403344.712723,46.887
600,1776403344.785458,1776403344.754750,30.708
601,1776403344.834103,1776403344.795909,38.195
602,1776403344.867381,1776403344.831581,35.800
603,1776403344.911614,1776403344.871194,40.420
604,1776403344.954122,1776403344.911771,42.351
605,1776403344.984215,1776403344.954282,29.934
606,1776403345.026217,1776403344.993128,33.089
607,1776403345.074745,1776403345.029865,44.880
608,1776403345.113719,1776403345.072511,41.207
609,1776403345.157565,1776403345.109159,48.407
610,1776403345.192911,1776403345.153361,39.550
611,1776403345.267112,1776403345.215816,51.296
612,1776403345.307073,1776403345.233675,73.398
613,1776403345.347554,1776403345.266620,80.935
614,1776403345.387787,1776403345.309274,78.513
615,1776403345.426260,1776403345.350274,75.985
616,1776403345.460507,1776403345.390428,70.079
617,1776403345.493477,1776403345.436246,57.231
618,1776403345.525563,1776403345.473345,52.218
619,1776403345.559089,1776403345.511528,47.561
620,1776403345.589846,1776403345.552874,36.972
621,1776403345.634492,1776403345.595465,39.026
622,1776403345.677598,1776403345.633490,44.108
623,1776403345.722346,1776403345.679003,43.343
624,1776403345.755541,1776403345.711830,43.712
625,1776403345.788469,1776403345.753260,35.209
626,1776403345.824905,1776403345.789627,35.279
