sample_index,t_received,t_stamp,age_ms
322,1776403260.098211,1776403259.954136,144.074
323,1776403260.200371,1776403260.074461,125.910
324,1776403260.299136,1776403260.151865,147.271
325,1776403260.402112,1776403260.275078,127.033
326,1776403260.496898,1776403260.355304,141.594
327,1776403260.598117,1776403260.468218,129.899
328,1776403260.695794,1776403260.552118,143.676
329,1776403260.794572,1776403260.671717,122.855
330,1776403260.899885,1776403260.750729,149.156
331,1776403261.001108,1776403260.870673,130.435
332,1776403261.103748,1776403260.949363,154.386
333,1776403261.198623,1776403261.067902,130.721
334,1776403261.292812,1776403261.148008,144.804
335,1776403261.395586,1776403261.268629,126.956
336,1776403261.489071,1776403261.344676,144.395
337,1776403261.593171,1776403261.469908,123.264
338,1776403261.692947,1776403261.551615,141.332
339,1776403261.798826,1776403261.670721,128.106
340,1776403261.905972,1776403261.746574,159.398
341,1776403262.013335,1776403261.872427,140.908
342,1776403262.113484,1776403261.989914,123.569
343,1776403262.213008,1776403262.071135,141.873
344,1776403262.312835,1776403262.189882,122.953
345,1776403262.413502,1776403262.271044,142.459
346,1776403262.516358,1776403262.349079,167.279
347,1776403262.612906,1776403262.470405,142.500
348,1776403262.712774,1776403262.589904,122.870
349,1776403262.813883,1776403262.672084,141.799
350,1776403262.913693,1776403262.787337,126.356
351,1776403263.012944,1776403262.867626,145.319
352,1776403263.116394,1776403262.993122,123.272
353,1776403263.214903,1776403263.065537,149.366
354,1776403263.319873,1776403263.191432,128.441
355,1776403263.429503,1776403263.271085,158.419
356,1776403263.529073,1776403263.389637,139.436
357,1776403263.626723,1776403263.468741,157.982
358,1776403263.724188,1776403263.551081,173.106
359,1776403263.830244,1776403263.667203,163.040
360,1776403263.936500,1776403263.788373,148.127
361,1776403264.044687,1776403263.917496,127.191
362,1776403264.151162,1776403263.992342,158.819
363,1776403264.256611,1776403264.115176,141.435
364,1776403264.366799,1776403264.234536,132.263
365,1776403264.467832,1776403264.315302,152.529
366,1776403264.575936,1776403264.441278,134.657
367,1776403264.683583,1776403264.553959,129.624
368,1776403264.789683,1776403264.631622,158.061
369,1776403264.899407,1776403264.755012,144.395
370,1776403264.998424,1776403264.875312,123.111
371,1776403265.095580,1776403264.949724,145.856
372,1776403265.197412,1776403265.066405,131.007
373,1776403265.293471,1776403265.151266,142.205
374,1776403265.406131,1776403265.270807,135.324
375,1776403265.507841,1776403265.353397,154.444
376,1776403265.610189,1776403265.470897,139.292
377,1776403265.709632,1776403265.550031,159.601
378,1776403265.807873,1776403265.670468,137.405
379,1776403265.902797,1776403265.757134,145.663
380,1776403266.001962,1776403265.877612,124.350
381,1776403266.098408,1776403265.950702,147.706
382,1776403266.196089,1776403266.067060,129.029
383,1776403266.292204,1776403266.149620,142.585
384,1776403266.392266,1776403266.273840,118.426
385,1776403266.495590,1776403266.353853,141.737
386,1776403266.596717,1776403266.474353,122.364
387,1776403266.692589,1776403266.555426,137.163
388,1776403266.787405,1776403266.673774,113.631
389,1776403266.882374,1776403266.756036,126.338
390,1776403266.981371,1776403266.836252,145.120
391,1776403267.079686,1776403266.955982,123.704
392,1776403267.174847,1776403267.032789,142.058
393,1776403267.284230,1776403267.148638,135.592
394,1776403267.400474,1776403267.267158,133.317
395,1776403267.510319,1776403267.348808,161.512
396,1776403267.610770,1776403267.474245,136.525
397,1776403267.711874,1776403267.548603,163.271
398,1776403267.811100,1776403267.672025,139.075
