sample_index,t_received,t_stamp,age_ms
225,1776403182.221400,1776403182.149713,71.687
226,1776403182.263042,1776403182.190967,72.075
227,1776403182.298358,1776403182.230047,68.311
228,1776403182.336192,1776403182.264254,71.939
229,1776403182.379358,1776403182.309559,69.800
230,1776403182.421895,1776403182.347552,74.343
231,1776403182.459011,1776403182.392774,66.237
232,1776403182.499793,1776403182.430822,68.971
233,1776403182.541597,1776403182.467376,74.220
234,1776403182.586351,1776403182.510989,75.363
235,1776403182.626073,1776403182.551860,74.213
236,1776403182.670557,1776403182.589000,81.556
237,1776403182.712915,1776403182.631112,81.803
238,1776403182.753351,1776403182.667338,86.013
239,1776403182.795880,1776403182.713939,81.941
240,1776403182.840516,1776403182.787863,52.653
241,1776403182.886986,1776403182.833371,53.615
242,1776403182.930215,1776403182.871099,59.116
243,1776403182.969251,1776403182.907546,61.705
244,1776403183.002278,1776403182.949150,53.128
245,1776403183.037762,1776403182.991461,46.301
246,1776403183.081274,1776403183.033632,47.642
247,1776403183.123096,1776403183.070511,52.586
248,1776403183.166151,1776403183.108483,57.668
249,1776403183.208698,1776403183.151388,57.309
250,1776403183.264981,1776403183.218256,46.725
251,1776403183.305919,1776403183.237715,68.204
252,1776403183.347980,1776403183.268141,79.839
253,1776403183.383246,1776403183.309593,73.653
254,1776403183.418066,1776403183.348949,69.117
255,1776403183.454414,1776403183.390868,63.546
256,1776403183.490281,1776403183.428579,61.702
257,1776403183.531855,1776403183.469434,62.420
258,1776403183.575274,1776403183.512528,62.746
259,1776403183.612775,1776403183.552166,60.609
260,1776403183.651591,1776403183.589738,61.853
261,1776403183.696186,1776403183.630662,65.523
262,1776403183.738039,1776403183.673549,64.490
263,1776403183.776575,1776403183.711330,65.245
264,1776403183.819232,1776403183.746994,72.239
265,1776403183.864005,1776403183.795234,68.770
266,1776403183.909924,1776403183.835084,74.839
267,1776403183.955467,1776403183.867398,88.070
268,1776403183.992847,1776403183.913502,79.345
269,1776403184.027232,1776403183.953172,74.061
270,1776403184.068911,1776403183.992546,76.364
271,1776403184.109668,1776403184.036760,72.908
272,1776403184.153465,1776403184.073623,79.843
273,1776403184.188275,1776403184.115026,73.249
274,1776403184.224232,1776403184.154901,69.331
275,1776403184.264381,1776403184.194210,70.170
276,1776403184.307583,1776403184.233843,73.740
277,1776403184.347862,1776403184.271066,76.796
278,1776403184.386360,1776403184.310817,75.543
279,1776403184.428301,1776403184.350962,77.339
280,1776403184.473816,1776403184.405753,68.063
281,1776403184.513459,1776403184.468605,44.854
282,1776403184.565983,1776403184.509512,56.472
283,1776403184.609676,1776403184.550149,59.527
284,1776403184.647786,1776403184.588876,58.910
285,1776403184.687937,1776403184.631282,56.655
286,1776403184.730900,1776403184.672479,58.421
287,1776403184.772334,1776403184.708629,63.706
288,1776403184.813018,1776403184.749918,63.100
289,1776403184.856783,1776403184.790681,66.103
290,1776403184.899279,1776403184.830654,68.625
291,1776403184.943140,1776403184.874277,68.864
292,1776403184.984340,1776403184.909819,74.521
293,1776403185.026374,1776403184.949940,76.434
294,1776403185.074309,1776403184.992141,82.168
295,1776403185.116263,1776403185.032256,84.007
296,1776403185.164326,1776403185.070399,93.927
297,1776403185.210428,1776403185.151147,59.281
298,1776403185.247800,1776403185.191399,56.402
299,1776403185.292191,1776403185.228358,63.833
300,1776403185.337953,1776403185.267046,70.907
301,1776403185.376866,1776403185.313689,63.177
302,1776403185.418308,1776403185.355057,63.250
303,1776403185.459562,1776403185.390193,69.369
304,1776403185.503857,1776403185.431233,72.624
305,1776403185.545115,1776403185.470423,74.692
306,1776403185.585122,1776403185.507354,77.768
307,1776403185.624113,1776403185.548030,76.083
308,1776403185.665347,1776403185.600094,65.253
309,1776403185.707002,1776403185.625148,81.854
310,1776403185.748839,1776403185.666899,81.940
311,1776403185.792371,1776403185.709891,82.480
312,1776403185.841900,1776403185.786022,55.878
313,1776403185.879091,1776403185.830302,48.789
314,1776403185.912864,1776403185.870833,42.032
315,1776403185.946307,1776403185.906760,39.547
316,1776403185.993273,1776403185.948877,44.396
317,1776403186.036524,1776403185.986225,50.299
318,1776403186.077257,1776403186.031891,45.366
319,1776403186.116006,1776403186.066149,49.857
320,1776403186.154939,1776403186.107688,47.251
321,1776403186.195466,1776403186.149653,45.813
322,1776403186.243974,1776403186.196905,47.069
323,1776403186.279753,1776403186.237757,41.996
324,1776403186.323703,1776403186.273161,50.542
325,1776403186.369799,1776403186.316798,53.000
326,1776403186.414334,1776403186.354209,60.125
327,1776403186.457120,1776403186.388335,68.785
328,1776403186.502821,1776403186.430525,72.297
329,1776403186.550016,1776403186.468253,81.763
330,1776403186.596878,1776403186.511526,85.352
331,1776403186.644192,1776403186.591273,52.919
332,1776403186.679439,1776403186.633885,45.554
333,1776403186.718032,1776403186.670888,47.144
334,1776403186.770030,1776403186.714528,55.502
335,1776403186.810919,1776403186.752418,58.501
336,1776403186.869191,1776403186.813668,55.524
337,1776403186.914718,1776403186.832583,82.135
338,1776403186.965198,1776403186.865979,99.219
339,1776403187.011760,1776403186.949409,62.351
340,1776403187.060827,1776403186.990629,70.199
341,1776403187.108217,1776403187.033168,75.048
342,1776403187.158185,1776403187.068978,89.207
343,1776403187.207769,1776403187.111401,96.368
344,1776403187.258361,1776403187.191346,67.014
345,1776403187.306974,1776403187.231715,75.259
346,1776403187.351932,1776403187.268204,83.728
347,1776403187.397748,1776403187.311139,86.610
348,1776403187.445442,1776403187.349049,96.393
349,1776403187.487135,1776403187.430365,56.770
350,1776403187.533661,1776403187.473455,60.206
351,1776403187.577135,1776403187.514685,62.450
352,1776403187.618049,1776403187.552082,65.968
353,1776403187.667053,1776403187.596690,70.363
354,1776403187.710749,1776403187.631464,79.285
355,1776403187.752200,1776403187.669949,82.251
